Country,Year,Treat,Score,PointsFromCutpoint,Use,AGG5YearsBefore,AGG3YearsBefore,AGGYearBefore,AGGM5.5,AGGM5,AGGM4.5,AGGM4,AGGM3.5,AGGM3,AGGM2.5,AGGM2,AGGM1.5,AGGM1,AGGM.5,AGG0,AGGP.5,AGGP1,AGGP1.5,AGGP2,AGGP2.5,AGGP3,AGGP3.5,AGGP4,AGGP4.5,AGGP5,REVM5.5,REVM5,REVM4.5,REVM4,REVM3.5,REVM3,REVM2.5,REVM2,REVM1.5,REVM1,REVM.5,REV0,REVP.5,REVP1,REVP1.5,REVP2,REVP2.5,REVP3,REVP3.5,REVP4,REVP4.5,REVP5,FatalAGGBefore,FatalAGGAfter,ForceAGGBefore,ForceAGGAfter,AttackAGGBefore,AttackAGGAfter,Irst,Milex,Milper,Energy,Tpop,Upop,CINC,LandArea,Regime,GreatPower,Alliances,USAlly,EntranceYear,Imports,Exports,EngagedCivilWar,EndedCivilWar,PrevAppear,MilexAfter,MilperPercentAfter,SoccerMostPopular,BirthRate,DeathRate,SexRatio,InfantMortality,LifeExpectancy,MedianAge,Democracy,Rank,NumberOfParticipants
Portugal,1986,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665000,674920000,102000,35645590,10011000,1124000,0.0017791,35603,0,0,16,1,1816,7665750000,5692650000,0,0,0,1130000000,0.010506304,1,15,10,93.1,20,72.33,32.1,1,17,24
Bulgaria,1986,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2944000,1656000000,189000,126350900,8960000,2505000,0.0041206,42823,1,0,12,0,1908,4240950000,2560690000,0,0,0,2370000000,0.021290826,1,14,11,98.8,18,71.24,35.7,0,15,24
Romania,1990,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14411000,1980000000,207000,237437900,23152000,6748000,0.0084825,92043,1,0,11,0,1878,9950720000,11090000000,0,1,0,1150000000,0.008669398,1,16,10,97.4,26,69.66,31.8,0,13,24
United Arab Emirates,1990,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471000000,43000,49836650,1856000,1250000,0.0012437,32278,1,0,37,0,1971,9559000000,16475400000,0,0,0,4900000000,0.033282905,0,15,9,94.7,12,74.32,31.4,0,24,24
Switzerland,1994,1,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260000,3969000000,35000,26293340,6938000,1036000,0.0019895,15940,0,0,0,0,1816,60702200000,62746900000,0,0,0,4950000000,0.005538986,1,12,9,95.4,7,77.23,36.9,1,15,24
Bulgaria,1994,1,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941000,589900000,52000,56695320,8472000,2724000,0.0019931,42823,0,0,6,0,1908,4484830000,2319330000,0,0,0,417000000,0.010706638,1,13,12,97.2,14,71.34,36.6,1,4,24
Bolivia,1994,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126000000,32000,7881044,7065000,2801000,0.0008727,424163,0,0,35,1,1848,1177750000,803850000,0,0,0,146000000,0.003776639,1,37,11,98.2,90,57.34,19.2,1,21,24
Morocco,1994,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,1193000000,195000,14857580,26069000,8420000,0.0035743,172487,1,0,39,0,1847,6858400000,3802570000,0,0,0,1460000000,0.007390283,1,32,9,99.5,79,62.7,19.7,0,23,24
Nigeria,1998,1,13,1,1,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,15000,1965000000,76000,133382300,118369000,19356000,0.0072503,356667,1,0,15,0,1960,7010510000,16524900000,0,0,1,2240000000,0.000706779,1,43,19,101.6,126,45.45,17.8,0,12,32
Nigeria,2002,1,16,1,1,4,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15000,516000000,78000,170801600,118801000,23219000,0.0071316,356667,0,0,14,0,1960,7928340000,18044600000,0,0,0,478000000,0.000618297,1,42,19,101.9,122,45.23,18.1,0,27,32
Ivory Coast,2006,1,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,190000000,17000,19143780,19097000,4673000,0.001138,124502,0,0,14,0,1960,5872870000,7250980000,0,0,0,290000000,0.000840419,1,37,14,106.2,85,50.5,18.7,0,19,32
Tunisia,2006,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,471000000,35000,10791500,10029000,1604000,0.0008298,63170,1,0,37,0,1825,13173100000,10487900000,0,0,1,470000000,0.003422983,1,17,6,101,23,73.02,24.7,0,24,32
Nigeria,2010,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,768000000,79000,199883700,138359000,28220000,0.0075925,356667,0,0,14,0,1960,43278700000,52729200000,0,0,0,NA,NA,1,41,17,101.9,107,47.75,18.1,0,27,32
Austria,1934,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226000,12054000,21000,5629000,6746000,2134000,0.0048335,32377,NA,0,0,0,1919,160710000,108490000,0,0,0,21808000,0.003697678,1,NA,NA,NA,NA,NA,NA,0,4,16
France,1934,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6577000,524231000,449000,81751000,41890000,6451000,0.0638299,260558,NA,1,13,0,1816,1108810000,720480000,0,0,1,867000000,0.013066285,1,NA,NA,NA,NA,NA,NA,1,10,16
Sweden,1938,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105000,46805000,27000,12113000,6280000,947000,0.0049385,173745,NA,0,0,0,1816,541280000,509910000,0,0,1,98741000,-0.001424051,1,NA,NA,NA,NA,NA,NA,1,4,15
