Year,Country1,Country2,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month,StartDay,StartMonth,EndDay,EndMonth,DisputesAfter,DisputesBefore
1962,Soviet Union,Colombia,1,0,0,0,0,3,4,4,3,6,30,5,17,6,0,0
1962,Soviet Union,Uruguay,1,0,0,0,0,3,2,1,6,6,30,5,17,6,0,0
1962,Yugoslavia,Colombia,1,0,0,0,0,3,5,0,7,6,30,5,17,6,0,0
1962,Chile,Switzerland,1,0,0,0,0,3,3,1,30,5,30,5,17,6,0,0
1962,West Germany,Italy,1,0,0,0,0,3,0,0,31,5,30,5,17,6,0,0
1962,Chile,Italy,1,0,0,0,0,3,2,0,2,6,30,5,17,6,0,0
1962,West Germany,Switzerland,1,0,0,0,0,3,2,1,3,6,30,5,17,6,0,0
1962,West Germany,Chile,1,0,0,0,0,3,2,0,6,6,30,5,17,6,0,0
1962,Italy,Switzerland,1,0,0,0,0,3,3,0,7,6,30,5,17,6,0,0
1962,Brazil,Mexico,1,0,0,0,0,3,2,0,30,5,30,5,17,6,0,0
1962,Czechoslovakia,Spain,1,0,0,0,0,3,1,0,31,5,30,5,17,6,0,0
1962,Brazil,Czechoslovakia,1,0,0,0,1,3,3,1,2,6,30,5,17,6,0,0
1962,Spain,Mexico,1,0,0,0,0,3,1,0,3,6,30,5,17,6,0,0
1962,Brazil,Spain,1,0,0,0,0,3,2,1,6,6,30,5,17,6,0,0
1962,Mexico,Czechoslovakia,1,0,0,0,0,3,3,1,7,6,30,5,17,6,0,0
1962,Argentina,Bulgaria,1,0,0,0,0,3,1,0,30,5,30,5,17,6,0,0
1962,Hungary,United Kingdom,1,0,0,0,0,3,2,1,31,5,30,5,17,6,0,0
1962,United Kingdom,Argentina,1,0,0,0,0,3,3,1,2,6,30,5,17,6,0,0
1962,Hungary,Bulgaria,1,0,0,0,0,3,6,1,3,6,30,5,17,6,0,0
1962,Hungary,Argentina,1,0,0,0,0,3,0,0,6,6,30,5,17,6,0,0
1962,United Kingdom,Bulgaria,1,0,0,0,0,3,0,0,7,6,30,5,17,6,0,0
1962,Chile,Soviet Union,0,0,1,0,0,3,2,1,10,6,30,5,17,6,0,0
1962,Brazil,United Kingdom,0,0,1,0,0,3,3,1,10,6,30,5,17,6,0,0
1962,Yugoslavia,West Germany,0,0,1,0,0,3,1,0,10,6,30,5,17,6,0,0
1962,Czechoslovakia,Hungary,0,0,1,0,0,3,1,0,10,6,30,5,17,6,0,0
1962,Brazil,Chile,0,0,0,1,0,3,4,2,13,6,30,5,17,6,0,0
1962,Czechoslovakia,Yugoslavia,0,0,0,1,0,3,3,1,13,6,30,5,17,6,0,0
1962,Chile,Yugoslavia,0,0,0,0,1,3,1,0,16,6,30,5,17,6,0,0
1966,United Kingdom,Uruguay,1,0,0,0,0,3,0,0,11,7,11,7,30,7,0,0
1966,France,Mexico,1,0,0,0,0,3,1,1,13,7,11,7,30,7,0,0
1966,Uruguay,France,1,0,0,0,0,3,2,1,15,7,11,7,30,7,0,0
1966,United Kingdom,Mexico,1,0,0,0,0,3,2,0,16,7,11,7,30,7,0,0
1966,Mexico,Uruguay,1,0,0,0,0,3,0,0,19,7,11,7,30,7,0,0
1966,United Kingdom,France,1,0,0,0,0,3,2,0,20,7,11,7,30,7,0,0
